Title: EXT_SOURCE_3                   Correlation: -0.178919	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_MONDAY Correlation: -0.005149	Status: very weak                                         
Title: NAME_HOUSING_TYPE_Office_apartment Correlation: -0.005103	Status: very weak                                         
Title: OCCUPATION_TYPE_Private_service_staff Correlation: -0.005047	Status: very weak                                         
Title: FLAG_DOCUMENT_9                Correlation: -0.004352	Status: very weak                                         
Title: FLAG_DOCUMENT_11               Correlation: -0.004229	Status: very weak                                         
Title: AMT_INCOME_TOTAL               Correlation: -0.003982	Status: very weak                                         
Title: ORGANIZATION_TYPE_Services     Correlation: -0.003871	Status: very weak                                         
Title: ORGANIZATION_TYPE_Insurance    Correlation: -0.00385	Status: very weak                                         
Title: ORGANIZATION_TYPE_Other        Correlation: -0.003784	Status: very weak                                         
Title: ORGANIZATION_TYPE_Hotel        Correlation: -0.00341	Status: very weak                                         
Title: FLAG_DOCUMENT_17               Correlation: -0.003378	Status: very weak                                         
Title: ORGANIZATION_TYPE_Transport:_type_1 Correlation: -0.003375	Status: very weak                                         
Title: ORGANIZATION_TYPE_Culture      Correlation: -0.003265	Status: very weak                                         
Title: NONLIVINGAPARTMENTS_AVG        Correlation: -0.003176	Status: very weak                                         
Title: ORGANIZATION_TYPE_Trade:_type_2 Correlation: -0.003105	Status: very weak                                         
Title: ORGANIZATION_TYPE_Electricity  Correlation: -0.002945	Status: very weak                                         
Title: NONLIVINGAPARTMENTS_MEDI       Correlation: -0.002757	Status: very weak                                         
Title: FLAG_DOCUMENT_4                Correlation: -0.002672	Status: very weak                                         
Title: FONDKAPREMONT_MODE_not_specified Correlation: -0.002667	Status: very weak                                         
Title: NAME_TYPE_SUITE_Children       Correlation: -0.002648	Status: very weak                                         
Title: OCCUPATION_TYPE_HR_staff       Correlation: -0.002639	Status: very weak                                         
Title: ORGANIZATION_TYPE_Trade:_type_4 Correlation: -0.002621	Status: very weak                                         
Title: OCCUPATION_TYPE_Secretaries    Correlation: -0.002452	Status: very weak                                         
Title: OCCUPATION_TYPE_IT_staff       Correlation: -0.002445	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_SATURDAY Correlation: -0.002396	Status: very weak                                         
Title: NAME_INCOME_TYPE_Student       Correlation: -0.002267	Status: very weak                                         
Title: SK_ID_CURR                     Correlation: -0.002108	Status: very weak                                         
Title: AMT_REQ_CREDIT_BUREAU_QRT      Correlation: -0.002022	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_5 Correlation: -0.001992	Status: very weak                                         
Title: FLAG_EMAIL                     Correlation: -0.001758	Status: very weak                                         
Title: WALLSMATERIAL_MODE_Mixed       Correlation: -0.001713	Status: very weak                                         
Title: NAME_INCOME_TYPE_Businessman   Correlation: -0.00169	Status: very weak                                         
Title: NONLIVINGAPARTMENTS_MODE       Correlation: -0.001557	Status: very weak                                         
Title: FLAG_DOCUMENT_7                Correlation: -0.00152	Status: very weak                                         
Title: ORGANIZATION_TYPE_Emergency    Correlation: -0.001458	Status: very weak                                         
Title: NAME_TYPE_SUITE_Spouse,_partner Correlation: -0.001448	Status: very weak                                         
Title: FLAG_DOCUMENT_10               Correlation: -0.001414	Status: very weak                                         
Title: FLAG_DOCUMENT_19               Correlation: -0.001358	Status: very weak                                         
Title: ORGANIZATION_TYPE_Religion     Correlation: -0.001337	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_SUNDAY Correlation: -0.001244	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_2 Correlation: -0.00123	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_10 Correlation: -0.001141	Status: very weak                                         
Title: CODE_GENDER_XNA                Correlation: -0.001069	Status: very weak                                         
Title: ORGANIZATION_TYPE_Trade:_type_5 Correlation: -0.000904	Status: very weak                                         
Title: ORGANIZATION_TYPE_Transport:_type_2 Correlation: -0.000839	Status: very weak                                         
Title: FLAG_DOCUMENT_12               Correlation: -0.000756	Status: very weak                                         
Title: NAME_FAMILY_STATUS_Unknown     Correlation: -0.000756	Status: very weak                                         
Title: ORGANIZATION_TYPE_Telecom      Correlation: -0.000712	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_6 Correlation: -0.000652	Status: very weak                                         
Title: ORGANIZATION_TYPE_Housing      Correlation: -0.000464	Status: very weak                                         
Title: OCCUPATION_TYPE_Realty_agents  Correlation: -0.000394	Status: very weak                                         
Title: FLAG_DOCUMENT_5                Correlation: -0.000316	Status: very weak                                         
Title: NAME_HOUSING_TYPE_Co-op_apartment Correlation: -0.000312	Status: very weak                                         
Title: ORGANIZATION_TYPE_Legal_Services Correlation: -0.000236	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_7 Correlation: -9.4e-05	Status: very weak                                         
Title: ORGANIZATION_TYPE_Advertising  Correlation: 0.000117	Status: very weak                                         
Title: FLAG_DOCUMENT_20               Correlation: 0.000215	Status: very weak                                         
Title: ORGANIZATION_TYPE_Business_Entity_Type_1 Correlation: 0.000339	Status: very weak                                         
Title: FLAG_CONT_MOBILE               Correlation: 0.00037	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_THURSDAY Correlation: 0.000446	Status: very weak                                         
Title: NAME_TYPE_SUITE_Group_of_people Correlation: 0.000452	Status: very weak                                         
Title: FLAG_MOBIL                     Correlation: 0.000534	Status: very weak                                         
Title: WALLSMATERIAL_MODE_Others      Correlation: 0.000628	Status: very weak                                         
Title: AMT_REQ_CREDIT_BUREAU_WEEK     Correlation: 0.000788	Status: very weak                                         
Title: AMT_REQ_CREDIT_BUREAU_HOUR     Correlation: 0.00093	Status: very weak                                         
Title: HOUSETYPE_MODE_terraced_house  Correlation: 0.000982	Status: very weak                                         
Title: ORGANIZATION_TYPE_Trade:_type_1 Correlation: 0.001032	Status: very weak                                         
Title: ORGANIZATION_TYPE_Postal       Correlation: 0.001125	Status: very weak                                         
Title: NAME_FAMILY_STATUS_Separated   Correlation: 0.001168	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_FRIDAY Correlation: 0.001203	Status: very weak                                         
Title: ORGANIZATION_TYPE_Mobile       Correlation: 0.001268	Status: very weak                                         
Title: NAME_TYPE_SUITE_Other_A        Correlation: 0.001372	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_8 Correlation: 0.001436	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_WEDNESDAY Correlation: 0.001447	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_11 Correlation: 0.002009	Status: very weak                                         
Title: AMT_REQ_CREDIT_BUREAU_DAY      Correlation: 0.002704	Status: very weak                                         
Title: NAME_EDUCATION_TYPE_Incomplete_higher Correlation: 0.002813	Status: very weak                                         
Title: LIVE_REGION_NOT_WORK_REGION    Correlation: 0.002819	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_13 Correlation: 0.002905	Status: very weak                                         
Title: ORGANIZATION_TYPE_Business_Entity_Type_2 Correlation: 0.003152	Status: very weak                                         
Title: ORGANIZATION_TYPE_Cleaning     Correlation: 0.00329	Status: very weak                                         
Title: NAME_HOUSING_TYPE_Municipal_apartment Correlation: 0.003329	Status: very weak                                         
Title: ORGANIZATION_TYPE_Realtor      Correlation: 0.003339	Status: very weak                                         
Title: FLAG_DOCUMENT_21               Correlation: 0.003709	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_4 Correlation: 0.004074	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_TUESDAY Correlation: 0.004698	Status: very weak                                         
Title: NAME_INCOME_TYPE_Maternity_leave Correlation: 0.004726	Status: very weak                                         
Title: EMERGENCYSTATE_MODE_Yes        Correlation: 0.004829	Status: very weak                                         
Title: NAME_TYPE_SUITE_Other_B        Correlation: 0.004909	Status: very weak                                         
Title: HOUSETYPE_MODE_specific_housing Correlation: 0.005311	Status: very weak                                         
Title: FLAG_DOCUMENT_2                Correlation: 0.005417	Status: very weak                                         
Title: REG_REGION_NOT_LIVE_REGION     Correlation: 0.005576	Status: very weak                                         
Title: ORGANIZATION_TYPE_Transport:_type_4 Correlation: 0.005929	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_1 Correlation: 0.006402	Status: very weak                                         
Title: REG_REGION_NOT_WORK_REGION     Correlation: 0.006942	Status: very weak                                         
Title: OCCUPATION_TYPE_Cleaning_staff Correlation: 0.006979	Status: very weak                                         
Title: ORGANIZATION_TYPE_Security     Correlation: 0.007226	Status: very weak                                         
Title: OCCUPATION_TYPE_Waiters/barmen_staff Correlation: 0.007802	Status: very weak                                         
Title: ORGANIZATION_TYPE_Agriculture  Correlation: 0.007901	Status: very weak                                         
Title: WALLSMATERIAL_MODE_Wooden      Correlation: 0.007946	Status: very weak                                         
Title: ORGANIZATION_TYPE_Trade:_type_7 Correlation: 0.00817	Status: very weak                                         
Title: NAME_TYPE_SUITE_Unaccompanied  Correlation: 0.008301	Status: very weak                                         
Title: NAME_INCOME_TYPE_Unemployed    Correlation: 0.008784	Status: very weak                                         
Title: ORGANIZATION_TYPE_Trade:_type_3 Correlation: 0.008911	Status: very weak                                         
Title: OBS_60_CNT_SOCIAL_CIRCLE       Correlation: 0.009022	Status: very weak                                         
Title: OBS_30_CNT_SOCIAL_CIRCLE       Correlation: 0.009131	Status: very weak                                         
Title: CNT_FAM_MEMBERS                Correlation: 0.009308	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_3 Correlation: 0.009691	Status: very weak                                         
Title: ORGANIZATION_TYPE_Restaurant   Correlation: 0.010266	Status: very weak                                         
Title: NAME_EDUCATION_TYPE_Lower_secondary Correlation: 0.011747	Status: very weak                                         
Title: OCCUPATION_TYPE_Cooking_staff  Correlation: 0.012222	Status: very weak                                         
Title: OCCUPATION_TYPE_Security_staff Correlation: 0.014648	Status: very weak                                         
Title: ORGANIZATION_TYPE_Transport:_type_3 Correlation: 0.017552	Status: very weak                                         
Title: CNT_CHILDREN                   Correlation: 0.019187	Status: very weak                                         
Title: OCCUPATION_TYPE_Sales_staff    Correlation: 0.019537	Status: very weak                                         
Title: NAME_HOUSING_TYPE_Rented_apartment Correlation: 0.019767	Status: very weak                                         
Title: ORGANIZATION_TYPE_Construction Correlation: 0.019792	Status: very weak                                         
Title: AMT_REQ_CREDIT_BUREAU_YEAR     Correlation: 0.01993	Status: very weak                                         
Title: NAME_FAMILY_STATUS_Civil_marriage Correlation: 0.022496	Status: very weak                                         
Title: ORGANIZATION_TYPE_Business_Entity_Type_3 Correlation: 0.023993	Status: very weak                                         
Title: NAME_FAMILY_STATUS_Single_/_not_married Correlation: 0.026518	Status: very weak                                         
Title: OCCUPATION_TYPE_Low-skill_Laborers Correlation: 0.027591	Status: very weak                                         
Title: FLAG_WORK_PHONE                Correlation: 0.028524	Status: very weak                                         
Title: ORGANIZATION_TYPE_Self-employed Correlation: 0.029139	Status: very weak                                         
Title: NAME_HOUSING_TYPE_With_parents Correlation: 0.029966	Status: very weak                                         
Title: OCCUPATION_TYPE_Drivers        Correlation: 0.030303	Status: very weak                                         
Title: DEF_60_CNT_SOCIAL_CIRCLE       Correlation: 0.031276	Status: very weak                                         
Title: DEF_30_CNT_SOCIAL_CIRCLE       Correlation: 0.032248	Status: very weak                                         
Title: LIVE_CITY_NOT_WORK_CITY        Correlation: 0.032518	Status: very weak                                         
Title: OWN_CAR_AGE                    Correlation: 0.037612	Status: very weak                                         
Title: DAYS_REGISTRATION              Correlation: 0.041975	Status: very weak                                         
Title: OCCUPATION_TYPE_Laborers       Correlation: 0.043019	Status: very weak                                         
Title: FLAG_DOCUMENT_3                Correlation: 0.044346	Status: very weak                                         
Title: REG_CITY_NOT_LIVE_CITY         Correlation: 0.044395	Status: very weak                                         
Title: FLAG_EMP_PHONE                 Correlation: 0.045982	Status: very weak                                         
Title: NAME_EDUCATION_TYPE_Secondary_/_secondary_special Correlation: 0.049824	Status: very weak                                         
Title: REG_CITY_NOT_WORK_CITY         Correlation: 0.050994	Status: very weak                                         
Title: DAYS_ID_PUBLISH                Correlation: 0.051457	Status: very weak                                         
Title: CODE_GENDER_M                  Correlation: 0.054713	Status: very weak                                         
Title: DAYS_LAST_PHONE_CHANGE         Correlation: 0.055218	Status: very weak                                         
Title: NAME_INCOME_TYPE_Working       Correlation: 0.057481	Status: very weak                                         
Title: REGION_RATING_CLIENT           Correlation: 0.058899	Status: very weak                                         
Title: REGION_RATING_CLIENT_W_CITY    Correlation: 0.060893	Status: very weak                                         
Title: DAYS_BIRTH                     Correlation: 0.078239	Status: very weak                                         
Title: TARGET                         Correlation:   1.0	Status: very strong                                       
