Title: CODE_REJECT_REASON_XAP         Correlation: -0.052015	Status: very weak                                         
Title: CHANNEL_TYPE_Channel_of_corporate_sales Correlation: -0.00502	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Tourism    Correlation: -0.004819	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Photo_/_Cinema_Equipment Correlation: -0.004559	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_SATURDAY Correlation: -0.004506	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Other      Correlation: -0.004228	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Homewares  Correlation: -0.003968	Status: very weak                                         
Title: PRODUCT_COMBINATION_POS_mobile_without_interest Correlation: -0.00328	Status: very weak                                         
Title: NAME_TYPE_SUITE_Spouse,_partner Correlation: -0.003159	Status: very weak                                         
Title: NFLAG_LAST_APPL_IN_DAY         Correlation: -0.002887	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Gardening  Correlation: -0.002794	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Medicine   Correlation: -0.002711	Status: very weak                                         
Title: SELLERPLACE_AREA               Correlation: -0.002539	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_Tourism   Correlation: -0.002532	Status: very weak                                         
Title: AMT_CREDIT                     Correlation: -0.00235	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_MLM_partners Correlation: -0.00224	Status: very weak                                         
Title: PRODUCT_COMBINATION_POS_other_with_interest Correlation: -0.002237	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Sport_and_Leisure Correlation: -0.002129	Status: very weak                                         
Title: CHANNEL_TYPE_Car_dealer        Correlation: -0.002099	Status: very weak                                         
Title: PRODUCT_COMBINATION_POS_others_without_interest Correlation: -0.001983	Status: very weak                                         
Title: CODE_REJECT_REASON_SYSTEM      Correlation: -0.001865	Status: very weak                                         
Title: CODE_REJECT_REASON_CLIENT      Correlation: -0.001836	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Unused_offer Correlation: -0.001836	Status: very weak                                         
Title: NAME_PORTFOLIO_Cars            Correlation: -0.001825	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Fitness    Correlation: -0.001711	Status: very weak                                         
Title: RATE_INTEREST_PRIMARY          Correlation: -0.00147	Status: very weak                                         
Title: SK_ID_CURR                     Correlation: -0.001246	Status: very weak                                         
Title: NAME_PAYMENT_TYPE_Non-cash_from_your_account Correlation: -0.001122	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Education  Correlation: -0.000857	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Buying_a_garage Correlation: -0.000844	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Additional_Service Correlation: -0.000697	Status: very weak                                         
Title: NAME_TYPE_SUITE_Other_B        Correlation: -0.000603	Status: very weak                                         
Title: NAME_PAYMENT_TYPE_Cashless_from_the_account_of_the_employer Correlation: -0.000531	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Office_Appliances Correlation: -0.000525	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Animals    Correlation: -0.000259	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Direct_Sales Correlation: -0.000257	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Weapon     Correlation: -0.000232	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Mobile     Correlation: -0.000117	Status: very weak                                         
Title: NAME_TYPE_SUITE_Other_A        Correlation: 0.000141	Status: very weak                                         
Title: AMT_GOODS_PRICE                Correlation: 0.000254	Status: very weak                                         
Title: NAME_TYPE_SUITE_Group_of_people Correlation: 0.000275	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_Jewelry   Correlation: 0.000302	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Buying_a_new_car Correlation: 0.000333	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Insurance  Correlation: 0.000385	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_WEDNESDAY Correlation: 0.000638	Status: very weak                                         
Title: NFLAG_INSURED_ON_APPROVAL      Correlation: 0.000653	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Jewelry    Correlation: 0.000831	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Auto_Accessories Correlation: 0.000986	Status: very weak                                         
Title: CODE_REJECT_REASON_VERIF       Correlation: 0.000999	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Money_for_a_third_person Correlation: 0.001253	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_FRIDAY Correlation: 0.001426	Status: very weak                                         
Title: NAME_CLIENT_TYPE_XNA           Correlation: 0.001482	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Refusal_to_name_the_goal Correlation: 0.001555	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_TUESDAY Correlation: 0.001689	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_XNA     Correlation: 0.001807	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Journey Correlation: 0.001929	Status: very weak                                         
Title: SK_ID_PREV                     Correlation: 0.002009	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Education Correlation: 0.002011	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Buying_a_holiday_home_/_land Correlation: 0.002075	Status: very weak                                         
Title: PRODUCT_COMBINATION_POS_mobile_with_interest Correlation: 0.002182	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Vehicles   Correlation: 0.002241	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Hobby   Correlation: 0.002276	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Business_development Correlation: 0.002357	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Everyday_expenses Correlation: 0.002537	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Wedding_/_gift_/_holiday Correlation: 0.002608	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Buying_a_home Correlation: 0.002636	Status: very weak                                         
Title: CODE_REJECT_REASON_XNA         Correlation: 0.002856	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_MONDAY Correlation: 0.00309	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Furniture Correlation: 0.003246	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_Auto_technology Correlation: 0.003276	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_THURSDAY Correlation: 0.003494	Status: very weak                                         
Title: NAME_CLIENT_TYPE_Repeater      Correlation: 0.003505	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Purchase_of_electronic_equipment Correlation: 0.00354	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Gasification_/_water_supply Correlation: 0.004395	Status: very weak                                         
Title: NAME_PORTFOLIO_Cash            Correlation: 0.00487	Status: very weak                                         
Title: PRODUCT_COMBINATION_Card_X-Sell Correlation: 0.005141	Status: very weak                                         
Title: NAME_CLIENT_TYPE_New           Correlation: 0.005725	Status: very weak                                         
Title: NAME_CONTRACT_TYPE_XNA         Correlation: 0.006072	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Medicine Correlation: 0.006163	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Buying_a_used_car Correlation: 0.006284	Status: very weak                                         
Title: CODE_REJECT_REASON_SCO         Correlation: 0.007342	Status: very weak                                         
Title: PRODUCT_COMBINATION_Cash_Street:_low Correlation: 0.007384	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Building_a_house_or_an_annex Correlation: 0.007489	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Car_repairs Correlation: 0.007648	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Canceled  Correlation: 0.008739	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Payments_on_other_loans Correlation: 0.008742	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_Connectivity Correlation: 0.008837	Status: very weak                                         
Title: CHANNEL_TYPE_Credit_and_cash_offices Correlation: 0.010869	Status: very weak                                         
Title: CHANNEL_TYPE_Contact_center    Correlation: 0.011971	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Other   Correlation: 0.013236	Status: very weak                                         
Title: PRODUCT_COMBINATION_Cash       Correlation: 0.014069	Status: very weak                                         
Title: NAME_CONTRACT_TYPE_Cash_loans  Correlation: 0.014932	Status: very weak                                         
Title: PRODUCT_COMBINATION_Cash_Street:_middle Correlation: 0.015485	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Urgent_needs Correlation: 0.016065	Status: very weak                                         
Title: NAME_PORTFOLIO_Cards           Correlation: 0.016466	Status: very weak                                         
Title: NAME_YIELD_GROUP_high          Correlation: 0.016636	Status: very weak                                         
Title: DAYS_TERMINATION               Correlation: 0.016981	Status: very weak                                         
Title: DAYS_LAST_DUE                  Correlation: 0.017522	Status: very weak                                         
Title: DAYS_LAST_DUE_1ST_VERSION      Correlation: 0.018021	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_Repairs Correlation: 0.018582	Status: very weak                                         
Title: PRODUCT_COMBINATION_Cash_Street:_high Correlation: 0.018768	Status: very weak                                         
Title: PRODUCT_COMBINATION_Cash_X-Sell:_high Correlation: 0.019489	Status: very weak                                         
Title: NAME_PORTFOLIO_XNA             Correlation: 0.020415	Status: very weak                                         
Title: NAME_CONTRACT_TYPE_Revolving_loans Correlation: 0.023149	Status: very weak                                         
Title: PRODUCT_COMBINATION_Card_Street Correlation: 0.025096	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_XNA       Correlation: 0.025203	Status: very weak                                         
Title: CODE_REJECT_REASON_LIMIT       Correlation: 0.025967	Status: very weak                                         
Title: NAME_PAYMENT_TYPE_XNA          Correlation: 0.026353	Status: very weak                                         
Title: CHANNEL_TYPE_AP+_(Cash_loan)   Correlation: 0.028294	Status: very weak                                         
Title: NAME_YIELD_GROUP_XNA           Correlation: 0.028366	Status: very weak                                         
Title: RATE_INTEREST_PRIVILEGED       Correlation: 0.02864	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_XNA        Correlation: 0.029541	Status: very weak                                         
Title: CNT_PAYMENT                    Correlation: 0.03048	Status: very weak                                         
Title: CODE_REJECT_REASON_HC          Correlation: 0.037158	Status: very weak                                         
Title: CODE_REJECT_REASON_SCOFR       Correlation: 0.038432	Status: very weak                                         
Title: DAYS_DECISION                  Correlation: 0.039901	Status: very weak                                         
Title: NAME_PRODUCT_TYPE_walk-in      Correlation: 0.042842	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Refused   Correlation: 0.054458	Status: very weak                                         
Title: TARGET                         Correlation:   1.0	Status: very strong                                       
